changwat,constituency,amphoe,tambon,station_count,voters_registered,voters_present,ballots_used,ballots_valid,ballots_invalid,ballots_no_vote,turnout_rate,invalid_rate,no_vote_rate
ลำปาง,1,หัวน้ำใส,เมืองฯ,1,376,376,376,337,30,9,1.0,0.0797872340425532,0.023936170212765957
ลำปาง,1,หัวพิตร,แม่สัน,1,360,254,254,231,26,23,0.7055555555555556,0.10236220472440945,0.09055118110236221
ลำปาง,1,หัวมังกร,ป้อมคก,1,504,368,368,341,16,11,0.7301587301587301,0.043478260869565216,0.029891304347826088
ลำปาง,1,หัวมิตร,นำมากล,1,341,263,263,235,14,14,0.7712609970674487,0.053231939163498096,0.053231939163498096
ลำปาง,1,หัวยง,เมืองยาง,1,436,313,313,271,278,11,0.7178899082568807,0.8881789137380192,0.03514376996805112
ลำปาง,1,หัวลักษณ์,เข้ามาลง,1,545,307,353,353,12,22,0.563302752293578,0.03908794788273615,0.07166123778501629
ลำปาง,1,หัวลังค์ครู,หนองเหลม,1,340,265,265,252,6,7,0.7794117647058824,0.022641509433962263,0.026415094339622643
ลำปาง,1,หัวลิงคิตร,เมืองฯ,1,240,199,199,187,10,2,0.8291666666666667,0.05025125628140704,0.010050251256281407
ลำปาง,1,หัวล่าง,ฟ้าแล้ง,1,40,0,578,537,19,22,0.0,,
ลำปาง,1,ห้างฉัตร,แฟล้น,1,270,151,151,136,5,10,0.5592592592592592,0.033112582781456956,0.06622516556291391
ลำปาง,1,ห้างซัง,วงศัว,1,375,375,375,345,12,18,1.0,0.032,0.048
ลำปาง,1,ทางเข้า,เมืองตาล,1,50,38,381,333,13,35,0.76,0.34210526315789475,0.9210526315789473
ลำปาง,1,เมือง,ต้นคร้อย,1,415,264,264,233,13,18,0.636144578313253,0.04924242424242424,0.06818181818181818
ลำปาง,1,เพ็ญ,บ้านเป้า,1,480,347,347,322,15,10,0.7229166666666667,0.043227665706051875,0.02881844380403458
ลำปาง,1,เพ็ญฯ,เมือง,1,465,298,298,267,34,29,0.6408602150537634,0.11409395973154363,0.09731543624161074
ลำปาง,1,เมือง,กรุงเทพฯ,1,727,481,481,455,5,21,0.6616231086657497,0.010395010395010396,0.04365904365904366
ลำปาง,1,เมือง,คลองคุ่ม,1,559,344,344,319,6,19,0.6153846153846154,0.01744186046511628,0.055232558139534885
ลำปาง,1,เมือง,คันกลางน้ำย,1,992,698,698,610,37,51,0.7036290322580645,0.05300859598853868,0.07306590257879657
ลำปาง,1,เมือง,คันถลิ่ย,1,731,489,489,434,11,44,0.6689466484268126,0.022494887525562373,0.08997955010224949
ลำปาง,1,เมือง,คันธรวย,1,651,450,450,396,27,27,0.6912442396313364,0.06,0.06
ลำปาง,1,เมือง,คูแย้ง,1,538,364,364,339,8,17,0.6765799256505576,0.02197802197802198,0.046703296703296704
ลำปาง,1,เมือง,จิตรี,1,702,467,467,428,31,31,0.6652421652421653,0.06638115631691649,0.06638115631691649
ลำปาง,1,เมือง,ชนบท,1,664,430,430,395,11,34,0.6475903614457831,0.02558139534883721,0.07906976744186046
ลำปาง,1,เมือง,ชมพู,1,501,334,334,316,5,13,0.6666666666666666,0.014970059880239521,0.038922155688622756
ลำปาง,1,เมือง,ต้นครูย,1,497,344,344,344,10,20,0.6921529175050302,0.029069767441860465,0.05813953488372093
ลำปาง,1,เมือง,ถนนราชเทวี,1,80,62,620,530,11,13,0.775,0.1774193548387097,0.20967741935483872
ลำปาง,1,ห้างนคร,แม่สัน,1,903,0,75,75,5,0,0.0,,
ลำปาง,1,เมือง,ถนนสาย,1,624,433,433,398,5,30,0.6939102564102564,0.011547344110854504,0.06928406466512702
ลำปาง,1,เมือง,ถลาง,1,371,216,216,201,8,7,0.5822102425876011,0.037037037037037035,0.032407407407407406
ลำปาง,1,เมือง,ทุ่งคราม,1,826,561,561,522,17,22,0.6791767554479419,0.030303030303030304,0.0392156862745098
ลำปาง,1,เมือง,ทุ่งฝาย,1,560,406,406,347,33,26,0.725,0.0812807881773399,0.06403940886699508
ลำปาง,1,เมือง,ท่าดินแดง,1,760,760,760,730,1,29,1.0,0.0013157894736842105,0.038157894736842106
