sha256,changwat,constituency,polling_station,amphoe,tambon,rank1_votes,rank2_votes,vote_margin,margin_rate
b47f669ae46f82c3ceb50a49add79a29ed626ee93c1a673206d478e23290d0d0,ลำปาง,1,10,หัวยง,เมืองยาง,105,100,5,0.047619047619047616
881f8478e1a4c32e4b7b02be940b5b74c2b0abe905892b78db16d0765af6793a,ลำปาง,1,11,เมือง,นิคมพัฒนา,33,28,5,0.15151515151515152
d88e0d2771cf66b9cf507e57ba9f627d4346c5866f16365deda6d6715a52a9bf,ลำปาง,1,15,กำแพงเพชร,ป้อมเจ้าหลวง,60,55,5,0.08333333333333333
586deaa6ef52fee3108931a68ca6570f7b8fee446e73221b15bdd45a9ea40454,ลำปาง,1,12,ปางนคร,เชียงตาล,40,35,5,0.125
b710a1ffb44d72d3832c7fb67b7f2596e4a91082308d7fab15e2bd84f692b3fe,ลำปาง,1,9,,,54,49,5,0.09259259259259259
dbc4c0b2a26746b4adddf8a34a0b0d25038c520ce54818e643cf87ab3a0a027e,ลำปาง,1,4,เมืองลำปาง,บ้านค่า,78,72,6,0.07692307692307693
959a20db48daf8077e00d117eae8f4dcd45a0338b2ce51e14505fc0de334015f,ลำปาง,1,7,เมือง,มูลพาดฟรมาก,84,78,6,0.07142857142857142
a6635ba80f9829ffc24337b068c3a5ba890cf300d45ab4e52293dfee78e29798,ลำปาง,1,19,ทางจุฬาฯ,บางคล้า,15,8,7,0.4666666666666667
dc0da65e13f578deb9399173586791eb00767a712bf95f8583ea71905ea4830f,ลำปาง,1,5,หัวล้านฯ,ปังยาวอก,91,84,7,0.07692307692307693
bf6c8e3ee476ab8ebdc2cab86e03480454c7664792e4e5b507959cd0e886f6d2,ลำปาง,1,1,เมือง,ท่าดินแดง,73,66,7,0.0958904109589041
0fa050cff60539a7f7ec4d5d6b899ad529d3af29973040bcff4552c132549daa,ลำปาง,1,9,หัวหน้าจังหวัด,ห้างฉัตร,50,43,7,0.14
cdb45baa56078ed7bacb4ae64c8835211578eb2ebf61b3f5aeacbc1561bcc910,ลำปาง,1,10,เมือง,บ้านเป้า,51,44,7,0.13725490196078433
a5f2c92675f20c17108253a3a0f965cec9d4ec22fc625da0afc6cf190a0db949,ลำปาง,1,11,ห้างฉัตร,ประชาคม,89,81,8,0.0898876404494382
