changwat,constituency,amphoe,tambon,station_count,voters_registered,voters_present,ballots_used,ballots_valid,ballots_invalid,ballots_no_vote,turnout_rate,invalid_rate,no_vote_rate
ลำปาง,1,เมือง,ห้ามนำ,1,492,298,298,265,11,22,0.6056910569105691,0.03691275167785235,0.0738255033557047
ลำปาง,1,เมือง,เกียวเหนือ,1,406,264,264,220,10,34,0.6502463054187192,0.03787878787878788,0.12878787878787878
ลำปาง,1,เมือง,เขื่องเหนือ,1,358,220,220,200,57,18,0.6145251396648045,0.2590909090909091,0.08181818181818182
ลำปาง,1,กำแพงเพชร,ปอดดาล,1,640,473,473,405,22,48,0.7390625,0.046511627906976744,0.1014799154334038
ลำปาง,1,เมือง,เชียงเหนียว,1,374,552,252,216,6,30,1.4759358288770053,0.010869565217391304,0.05434782608695652
ลำปาง,1,เมือง,เชียงใหม่,1,350,352,352,299,15,38,1.0057142857142858,0.04261363636363636,0.10795454545454546
ลำปาง,1,เมือง,เพชร,1,704,456,456,402,10,38,0.6477272727272727,0.021929824561403508,0.08333333333333333
ลำปาง,1,เมือง,สงขลา,1,569,344,344,302,8,34,0.6045694200351494,0.023255813953488372,0.09883720930232558
ลำปาง,1,ขำฉ้อครู,ปะนาเถา,1,460,336,336,277,32,27,0.7304347826086957,0.09523809523809523,0.08035714285714286
ลำปาง,1,เมือง,ม้านเข้า,1,192,138,138,120,4,14,0.71875,0.028985507246376812,0.10144927536231885
ลำปาง,1,เมือง,พระบาทฯ,1,536,343,343,297,11,35,0.6399253731343284,0.03206997084548105,0.10204081632653061
ลำปาง,1,ซังฮัตร,เชียงตาล,1,40,260,260,230,176,14,6.5,0.676923076923077,0.05384615384615385
ลำปาง,1,ช้างเผือก,6409,1,376,273,259,230,17,12,0.726063829787234,0.06227106227106227,0.04395604395604396
ลำปาง,1,เมือง,บ้านเอ็ด,1,437,343,343,291,23,29,0.7848970251716247,0.06705539358600583,0.08454810495626822
ลำปาง,1,เมือง,ปอหยิ่ว,1,459,341,341,299,14,28,0.7429193899782135,0.04105571847507331,0.08211143695014662
ลำปาง,1,เมือง,ปอเรือง,1,479,352,352,314,17,21,0.7348643006263048,0.048295454545454544,0.05965909090909091
ลำปาง,1,เมือง,ปอแล้ว,1,487,345,345,298,16,31,0.7084188911704312,0.0463768115942029,0.08985507246376812
ลำปาง,1,เมือง,ปอแอ๊ก,1,708,507,507,421,27,59,0.7161016949152542,0.05325443786982249,0.11637080867850098
ลำปาง,1,เมือง,ปอแอ๋ว,1,521,415,415,357,20,38,0.7965451055662188,0.04819277108433735,0.09156626506024096
ลำปาง,1,เมือง,ปุณฑาราม,1,427,300,300,270,19,11,0.702576112412178,0.06333333333333334,0.03666666666666667
ลำปาง,1,เมือง,ป่านาเฒ่า,1,460,347,347,319,13,15,0.7543478260869565,0.037463976945244955,0.043227665706051875
ลำปาง,1,เมือง,ป้อมยานพาหนะ,1,538,402,402,367,13,24,0.7472118959107806,0.03233830845771144,0.05970149253731343
ลำปาง,1,ค่างฉัตร,เมืองยาว,1,473,313,313,271,21,21,0.6617336152219874,0.0670926517571885,0.0670926517571885
ลำปาง,1,เมือง,พลเมือง,1,703,480,480,409,27,44,0.6827880512091038,0.05625,0.09166666666666666
ลำปาง,1,เมือง,ม้านลิ่ม,1,205,136,136,124,4,8,0.6634146341463415,0.029411764705882353,0.058823529411764705
ลำปาง,1,เมือง,พิชัย,1,702,467,467,409,12,46,0.6652421652421653,0.02569593147751606,0.09850107066381156
ลำปาง,1,เมือง,ฟอแฮ่,1,466,278,298,262,7,29,0.5965665236051502,0.025179856115107913,0.10431654676258993
ลำปาง,1,เมือง,ฟางฝาย,1,780,561,561,510,17,3422,0.7192307692307692,0.030303030303030304,6.09982174688057
ลำปาง,1,เมือง,ฟ้าฮ่า,1,626,412,412,358,28,26,0.65814696485623,0.06796116504854369,0.06310679611650485
ลำปาง,1,เมือง,ม.ค. 60,1,438,338,338,303,10,25,0.771689497716895,0.029585798816568046,0.07396449704142012
ลำปาง,1,เมือง,มอแฮ้ง,1,696,443,443,443,28,46,0.6364942528735632,0.06320541760722348,0.1038374717832957
