sha256,voting_type,station_id,tambon,amphoe,changwat,constituency,polling_station,election_date,voters_registered,voters_present,ballots_allocated,ballots_used,ballots_valid,ballots_invalid,ballots_no_vote,ballots_remaining,total_votes,validation_passed,turnout_rate,valid_rate,invalid_rate,no_vote_rate
5ae29c89724b8b047c66e3d48d8d40e13f065eec173bc11aa56460bd60087150,election_day,,นิคมพัฒนา,เมืองลำปาง,ลำปาง,1,13,2026-02-28,277,199,280,199,182,9,8,81,182,True,0.7184115523465704,0.914572864321608,0.04522613065326633,0.04020100502512563
7b55eb7e724f907a5f24ece46f1a6f91c2ad63a49572e59ec40f7f6e3256dad0,election_day,,นิคมพัฒนา,เมืองลำปาง,ลำปาง,1,1,2026-02-08,539,324,440,324,303,7,13,116,303,False,0.601113172541744,0.9351851851851852,0.021604938271604937,0.040123456790123455
857741a8bfb252a290fabb4c96223cd3f66c275da05af37d177cac2dbe7d4f82,election_day,,บ้านค่ำ,เมืองลำปาง,ลำปาง,1,3,2026-02-28,360,259,360,259,239,16,4,101,239,False,0.7194444444444444,0.9227799227799228,0.06177606177606178,0.015444015444015444
881f8478e1a4c32e4b7b02be940b5b74c2b0abe905892b78db16d0765af6793a,election_day,,นิคมพัฒนา,เมือง,ลำปาง,1,11,2026-02-28,140,102,140,102,94,2,6,38,94,False,0.7285714285714285,0.9215686274509803,0.0196078431372549,0.058823529411764705
959a20db48daf8077e00d117eae8f4dcd45a0338b2ce51e14505fc0de334015f,election_day,,มูลพาดฟรมาก,เมือง,ลำปาง,1,7,2026-02-28,372,278,360,278,249,16,13,82,249,True,0.7473118279569892,0.89568345323741,0.05755395683453238,0.046762589928057555
0f1740d31cce64e03953230a0ca7aa989279db4f6e95df431a222e37d3b9c28d,election_day,,ม่อแร้ง,เมือง,ลำปาง,1,3,2026-02-28,255,178,240,178,168,6,4,62,168,False,0.6980392156862745,0.9438202247191011,0.033707865168539325,0.02247191011235955
1273c09ee20df7bd08dc900cba3517e334b42b43614fa9f848107025dbdcb408,election_day,,ตำบล/แขวง/เทศบาล,อำเภอ/เขต เมืองฯ,ลำปาง,1,77,2026-02-28,620,459,620,459,433,439,21,161,433,False,0.7403225806451613,0.9433551198257081,0.9564270152505446,0.0457516339869281
28dcaac0125f10c00db752d7ad508abac6ad70ae79bd623f5af837e21ef23a44,election_day,,บ่อแล้ง,เมือง,ลำปาง,1,9,2026-02-08,630,407,580,407,368,10,29,173,368,True,0.6460317460317461,0.9041769041769042,0.02457002457002457,0.07125307125307126
47450f13216126e0d3bbeb2b9265713ab938b7363c7b53476e859481222362cf,election_day,,วอแก้ว,ห้างฉัตร,ลำปาง,1,2,2026-02-28,227,183,220,183,169,10,4,37,169,True,0.8061674008810573,0.9234972677595629,0.0546448087431694,0.02185792349726776
a6de175b0bb4495b004ccea0ee56115603d7fc6b888b7b3f06b7295ae90b722a,election_day,,หนองหล่ม,หางฉัตร์,ลำปาง,1,5,2026-02-28,284,212,260,212,203,7,2,48,203,False,0.7464788732394366,0.9575471698113207,0.0330188679245283,0.009433962264150943
ac28bb0ea1eb01f99b41aaa29e703d4b2d85c542ed5615fc258bc0d73f393274,election_day,,พระบาท,เมือง,ลำปาง,1,57,2026-02-08,397,242,360,242,216,9,17,118,216,False,0.6095717884130982,0.8925619834710744,0.0371900826446281,0.07024793388429752
bd84421c37ad0ff90ccc57fd52818b959b6b05e24fad987184d9d34d5a66b08e,election_day,,น้ำเมือง,เมือง,ลำปาง,1,11,2026-02-28,396,263,400,263,248,15,137,137,284,False,0.6641414141414141,0.9429657794676806,0.057034220532319393,0.5209125475285171
cdaba072645cd3f0ec4b84e346b7bb8b8b658b8070580e9b52589274ac94f790,election_day,,หมู่ที่ 9,เมือง,ลำปาง,1,2,2026-02-28,611,443,580,443,403,11,29,137,403,True,0.7250409165302782,0.909706546275395,0.024830699774266364,0.0654627539503386
cf80de775e4cba7e036a93c1f5b8022f778efca6f612855434e4f883dbf8cb68,election_day,,พระบาท,เมือง,ลำปาง,1,66,2026-02-28,556,374,900,374,340,14,20,126,340,False,0.6726618705035972,0.9090909090909091,0.0374331550802139,0.053475935828877004
