sha256,changwat,constituency,polling_station,amphoe,tambon,rank1_votes,rank2_votes,vote_margin,margin_rate
f6b654f23de9a20843d4b57cb2dbf2034d19db2e668b1f4820e2952a34158434,ลำปาง,1,6,เมือง,บุญนาคพิทยา,43,40,3,0.06976744186046512
5b135fd5e24b8d281c8484f4fa236c98cbac67aac906b0a9017ab34936e872f6,ลำปาง,1,4,เมืองไทย,มูลนายพิชชา,78,74,4,0.05128205128205128
bb19b05398629810e25ef5edc460590ef105ed0e07c6391f82920922c0d74de4,ลำปาง,1,1,ปักธิวาเขตรถาง,40,119,114,5,0.04201680672268908
5ae29c89724b8b047c66e3d48d8d40e13f065eec173bc11aa56460bd60087150,ลำปาง,1,13,เมืองลำปาง,นิคมพัฒนา,64,59,5,0.078125
4d85d62b548cec0226c925edb2726a57b8ccf43fb40c563230aee6ec59261606,ลำปาง,1,2,ห้างฉัตร,ออแก้ว,89,84,5,0.056179775280898875
1562c75d5e8fe43b1a13fabfb73108b2c6565b7cd8857c4f075e1857af4f9375,ลำปาง,1,7,หัวเมือง,แม่สิม,91,86,5,0.054945054945054944
e0283cd4e2320bdd119236a8917f14ed6acf256f13c67c6afbb6b7bcb9e3c8b6,ลำปาง,1,8,เมือง,บุญหาดฟ้ามนา,60,54,6,0.1
586deaa6ef52fee3108931a68ca6570f7b8fee446e73221b15bdd45a9ea40454,ลำปาง,1,12,ปางจักร,เวียงตาล,59,52,7,0.11864406779661017
d66c6a5e546280231950978436195497af680eb23efff74043c1cba0503eb1f7,ลำปาง,1,3,เมือง,หิมพานยา,98,90,8,0.08163265306122448
c7bee79332680f699f3d6971b8e087e6024ba3d8016e9fc392bd0f2b25c3d3e2,ลำปาง,1,3,หัวเมืองฯ,แม่สัน,119,111,8,0.06722689075630252
bdf304839611369ab67c26c015e070aae9f1aeb0eaad8a0eded11fdcd6cb1cf2,ลำปาง,1,6,เมืองลำปาง,ทุ่มฝาย,141,133,8,0.05673758865248227
c23969de3763646f3d19207798722f8218f20339711c21b41b8fce172e1e15b4,ลำปาง,1,1,ลำปาง,เหรียญดุษฎี,21,12,9,0.42857142857142855
f3099959cd5871b17d22dda8bf1a1159b94da4ce45fc6dee6b00b513dfa4accc,ลำปาง,1,8,เมืองลำปาง,บ่อแฮ๋ว หนองกะทิม,49,40,9,0.1836734693877551
dbc4c0b2a26746b4adddf8a34a0b0d25038c520ce54818e643cf87ab3a0a027e,ลำปาง,1,4,เมืองลำปาง,บ้านค่ำ,89,80,9,0.10112359550561797
d2384a2bd33652e80105c2c562e01f22950755d97af08a268ee208aa5a248fd3,ลำปาง,1,1,ซำจักร,เมืองยาง,118,108,10,0.0847457627118644
a7f1cfd116ff6372850c3223aa9b99fa2811eb7948f359da614c01dde123e1c8,ลำปาง,1,2,อำเภอ/เขต เมืองฯ,หมู่ที่ 2,94,84,10,0.10638297872340426
04d0a0fa76437268a0165e269b910250aa3d20fa56cd43f5f5fc862fc0f15da6,ลำปาง,1,36,เมือง,สวนดอก,70,60,10,0.14285714285714285
277ef8bf9c304a9daa439aa555a7a5f80d1bb370c1caaf8e77335959b0dd5327,ลำปาง,1,3,เชียงใหม่,เมืองพัฒนา,414,403,11,0.026570048309178744
4ef9125235bfcefeafdba7e956d5ffbaf28c8ef855be33d602642edc4e5df4ce,ลำปาง,1,2,เมือง,ฟ้าฮ่า,142,131,11,0.07746478873239436
857741a8bfb252a290fabb4c96223cd3f66c275da05af37d177cac2dbe7d4f82,ลำปาง,1,3,เมืองลำปาง,น้ำค่ำ,101,89,12,0.1188118811881188
9d416107de5505b8edea183a653abf36a0d6ac1321d78dcb46e404ac95b76791,ลำปาง,1,6,อำเภอ/เขต กำแพงเพชร,เมืองฯ,80,67,13,0.1625
67291fe4a3e340de451fba51718af370a48862bfbf0aae54ad4a680d5b278fb9,ลำปาง,1,9,ขำฉ้อครู,ปะนาเถา,110,97,13,0.11818181818181818
780c19451214886aa99b143fe44d4dbd3a7874e84894816ad8d955c198fcb695,ลำปาง,1,16,เมือง,หัวเมือง,173,160,13,0.07514450867052024
bd9cfcc83b2b1663f0f97768394f4b7eb7eedfd6fd16faf1a27ff1023b912cc5,ลำปาง,1,12,เมืองฯ,นิคมพัฒนา,61,48,13,0.21311475409836064
348890fc7fcab2a13492cd8bc715a538b34ad4abeb17c175ca122e9435de3194,ลำปาง,1,3,ห้างฉัตร,ห้างฉัตร,68,54,14,0.20588235294117646
6017e3d5728c46a5056fe8bee92610aef209e73e6b0fa006e982366240696454,ลำปาง,1,2,เม็ด,ม้านเป้า,186,172,14,0.07526881720430108
bfb7b7e11895acff18acaaed319e57ea0b10e48c9c2ad18355b891495a715a21,ลำปาง,1,2,เมือง,หนองชัย,90,75,15,0.16666666666666666
