sha256,voting_type_x,candidate_number,candidate_name,party,votes,voting_type_y,changwat,constituency,polling_station,amphoe,tambon,voters_registered,voters_present,ballots_valid,ballots_invalid,ballots_no_vote,turnout_rate,invalid_rate,no_vote_rate,validation_passed,station_vote_share,choice_number,choice_name,choice_label
11ae4f7d0e5d309a9587bdc34d701ad66943da25c4c8d55c97488a96ef47135c,election_day,6,ร.ต.อ. ประสิทธิ์ ทิวงศ์ษา,พรรคเศรษฐกิจ,0,election_day,ลำปาง,1,4,เมืองลำปาง,ทุ่มฟาย,320,239,202,11,26,0.746875,0.04602510460251046,0.1087866108786611,False,0.0,6,ร.ต.อ. ประสิทธิ์ ทิวงศ์ษา,พรรคเศรษฐกิจ
11bfd03a154a8c57aae02047182dd393fc35895d4d7a6d15a551bb4ed1cf6f74,election_day,1,นายอธิวัฒน์ ศรีไชยยานุพันธ์,พรรคคล้ายธรรม,2,election_day,ลำปาง,1,60,เมือง,พระบาท,518,350,304,6,40,0.6756756756756757,0.017142857142857144,0.11428571428571428,False,0.006578947368421052,1,นายอธิวัฒน์ ศรีไชยยานุพันธ์,พรรคคล้ายธรรม
129912318a79b4e48c89cfd46a9f91d868c5424e02ba8e2e249b76f9b2628915,election_day,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,115,election_day,ลำปาง,1,28,เมืองลำปาง,หัวเมืองอำเภอ/เขต เมืองลำปาง,407,250,219,11,20,0.6142506142506142,0.044,0.08,False,0.5251141552511416,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน
1309d73412f5745585dac47b75f3ca176bfa701353cde2cb20d6e57a61f92106,advance,7,นางสาวอมลยา เจนตวนิชย์,พรรคประชาธิปัตย์,18,advance,ลำปาง,1,1,เขตเลือกตั้งที่ 1,โรงเรียนเตรียมอุดมศึกษา,520,520,689,10,61,1.0,0.019230769230769232,0.11730769230769231,False,0.026124818577648767,7,นางสาวอมลยา เจนตวนิชย์,พรรคประชาธิปัตย์
1374343ef3ee9734c8a7e1697a1bc569522589882e2353d79f034285d3ae52a0,election_day,4,นายกิตติกร โล่ห์สุนทร,พรรคเพื่อไทย,21,election_day,ลำปาง,1,55,เมือง,สิบเอ็ด,346,226,198,7,21,0.653179190751445,0.030973451327433628,0.09292035398230089,False,0.10606060606060606,4,นายกิตติกร โล่ห์สุนทร,พรรคเพื่อไทย
1562c75d5e8fe43b1a13fabfb73108b2c6565b7cd8857c4f075e1857af4f9375,election_day,5,นายนริศ แสงบุญเรือง,พรรคไทยก้าวใหม่,3,election_day,ลำปาง,1,7,หัวเมือง,แม่สิม,360,222,222,13,19,0.6166666666666667,0.05855855855855856,0.08558558558558559,False,0.013513513513513514,5,นายนริศ แสงบุญเรือง,พรรคไทยก้าวใหม่
1562c75d5e8fe43b1a13fabfb73108b2c6565b7cd8857c4f075e1857af4f9375,election_day,9,นายก้องเกียรติ มาทา,พรรครวมไทยสร้างชาติ,13,election_day,ลำปาง,1,7,หัวเมือง,แม่สิม,360,222,222,13,19,0.6166666666666667,0.05855855855855856,0.08558558558558559,False,0.05855855855855856,9,นายก้องเกียรติ มาทา,พรรครวมไทยสร้างชาติ
15d674eaca1d5182cd5a262c7d200cc84a5b4d801fd94c4b2d55197bae0fbf4e,election_day,4,นายกิตติกร โล่ห์สุนทร,พรรคเพื่อไทย,40,election_day,ลำปาง,1,43,เมืองเชียงใหม่,สวนจิ๋ม,360,264,222,5,37,0.7333333333333333,0.01893939393939394,0.14015151515151514,False,0.18018018018018017,4,นายกิตติกร โล่ห์สุนทร,พรรคเพื่อไทย
1e115b6432dd03c70e051b8b2594a80314d0b4a0b8ce66f176955e882eefc305,election_day,3,นายชวนิต จันทรสุรินทร์,พรรคภูมิใจไทย,60,election_day,ลำปาง,1,69,เมือง,พระบาท,645,424,380,6,38,0.6573643410852713,0.014150943396226415,0.08962264150943396,False,0.15789473684210525,3,นายชวนิต จันทรสุรินทร์,พรรคภูมิใจไทย
1e115b6432dd03c70e051b8b2594a80314d0b4a0b8ce66f176955e882eefc305,election_day,6,ร.ต.อ. ประสิทธิ์ ทิวงศ์ษา,พรรคเศรษฐกิจ,10,election_day,ลำปาง,1,69,เมือง,พระบาท,645,424,380,6,38,0.6573643410852713,0.014150943396226415,0.08962264150943396,False,0.02631578947368421,6,ร.ต.อ. ประสิทธิ์ ทิวงศ์ษา,พรรคเศรษฐกิจ
20762d806946911999df94d78fe0de728a12f4d10b29981942d7884063ba7915,election_day,3,นายชวนิต จันทรสุรินทร์,พรรคภูมิใจไทย,31,election_day,ลำปาง,1,62,เมืองฯ,นครลำปาง,364,23,196,9,31,0.06318681318681318,0.391304347826087,1.3478260869565217,True,0.15816326530612246,3,นายชวนิต จันทรสุรินทร์,พรรคภูมิใจไทย
20762d806946911999df94d78fe0de728a12f4d10b29981942d7884063ba7915,election_day,6,ร.ต.อ. ประสิทธิ์ ทิวงศ์ษา,พรรคเศรษฐกิจ,6,election_day,ลำปาง,1,62,เมืองฯ,นครลำปาง,364,23,196,9,31,0.06318681318681318,0.391304347826087,1.3478260869565217,True,0.030612244897959183,6,ร.ต.อ. ประสิทธิ์ ทิวงศ์ษา,พรรคเศรษฐกิจ
277ef8bf9c304a9daa439aa555a7a5f80d1bb370c1caaf8e77335959b0dd5327,election_day,3,นายชวนิต จันทรสุรินทร์,พรรคภูมิใจไทย,403,election_day,ลำปาง,1,3,เชียงใหม่,เมืองพัฒนา,763,569,488,39,37,0.745740498034076,0.06854130052724078,0.06502636203866433,False,0.8258196721311475,3,นายชวนิต จันทรสุรินทร์,พรรคภูมิใจไทย
277ef8bf9c304a9daa439aa555a7a5f80d1bb370c1caaf8e77335959b0dd5327,election_day,6,ร.ต.อ. ประสิทธิ์ ทิวงศ์ษา,พรรคเศรษฐกิจ,40,election_day,ลำปาง,1,3,เชียงใหม่,เมืองพัฒนา,763,569,488,39,37,0.745740498034076,0.06854130052724078,0.06502636203866433,False,0.08196721311475409,6,ร.ต.อ. ประสิทธิ์ ทิวงศ์ษา,พรรคเศรษฐกิจ
28dcaac0125f10c00db752d7ad508abac6ad70ae79bd623f5af837e21ef23a44,election_day,7,นางสาวอมลยา เจนตวนิชย์,พรรคประชาธิปัตย์,20,election_day,ลำปาง,1,9,เมือง,บ่อแล้ว,630,407,353,18,37,0.6460317460317461,0.044226044226044224,0.09090909090909091,False,0.056657223796033995,7,นางสาวอมลยา เจนตวนิชย์,พรรคประชาธิปัตย์
2ab1459231cb0d303f4c27214d89994b763d6da481bcc3a47b80570cdccd07e6,election_day,3,นายชวนิต จันทรสุรินทร์,พรรคภูมิใจไทย,22,election_day,ลำปาง,1,53,เมือง,704,371,216,201,4,11,0.5822102425876011,0.018518518518518517,0.05092592592592592,False,0.10945273631840796,3,นายชวนิต จันทรสุรินทร์,พรรคภูมิใจไทย
2ab1459231cb0d303f4c27214d89994b763d6da481bcc3a47b80570cdccd07e6,election_day,6,ร.ต.อ. ประสิทธิ์ ทิวงศ์ษา,พรรคเศรษฐกิจ,13,election_day,ลำปาง,1,53,เมือง,704,371,216,201,4,11,0.5822102425876011,0.018518518518518517,0.05092592592592592,False,0.06467661691542288,6,ร.ต.อ. ประสิทธิ์ ทิวงศ์ษา,พรรคเศรษฐกิจ
