จังหวัด,เขต,อำเภอ,ตำบล,จํานวนหน่วย,ผู้มีสิทธิ,มาใช้สิทธิ,บัตรใช้ไป,บัตรดี,บัตรเสีย,บัตรไม่เลือก,1. ไทยทรัพย์ทวี,2. เพื่อชาติไทย,3. ใหม่,4. มิติใหม่,5. รวมใจไทย,6. รวมไทยสร้างชาติ,7. พลวัต,8. ประชาธิปไตยใหม่,9. เพื่อไทย,10. ทางเลือกใหม่,11. เศรษฐกิจ,12. เสรีรวมไทย,13. รวมพลังประชาชน,14. ท้องที่ไทย,15. อนาคตไทย,16. พลังเพื่อไทย,17. ไทยชนะ,18. พลังสังคมใหม่,19. สังคมประชาธิปไตยไทย,20. ฟิวซัน,21. ไทรวมพลัง,22. ก้าวล่วง,23. ปวงชนไทย,24. วิชชั่นใหม่,25. เพื่อชีวิตใหม่,26. คลองไทย,27. ประชาธิปัตย์,28. ไทยก้าวหน้า,29. ไทยภักดี,30. แรงงานสร้างชาติ,31. ประชากรไทย,32. ครูไทยเพื่อประชาชน,33. ประชาชาติ,34. สร้างอนาคตไทย,35. รักชาติ,36. ไทยพร้อม,37. ภูมิใจไทย,38. พลังธรรมใหม่,39. กรีน,40. ไทยธรรม,41. แผ่นดินธรรม,42. กล้าธรรม,43. พลังประชารัฐ,44. โอกาสใหม่,45. เป็นธรรม,46. ประชาชน,47. ประชาไทย,48. ไทยสร้างไทย,49. ไทยก้าวใหม่,50. ประชาอาสาชาติ,51. พร้อม,52. เครือข่ายชาวนาแห่งประเทศไทย,53. ไทยพิทักษ์ธรรม,54. ความหวังใหม่,55. ไทยรวมไทย,56. เพื่อบ้านเมือง,57. พลังไทยรักชาติ
ลำปาง,1,เพียง,คันธรอย,1,755,500,500,473,26,32,4,6,1,4,2,12,2,9,70,4,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,5,1,0,0,1,1,0,65,35,5,0,0,0,13,1,0,0,187,0,1,3,0,0,0,0,0,0,0,1
ลำปาง,1,เพื่อ,ทุ่งฝาย,1,411,305,305,271,17,17,1,10,0,4,1,7,2,4,66,3,14,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,12,0,1,0,0,0,1,0,0,0,33,1,0,0,0,2,1,6,0,92,0,5,0,0,0,0,1,0,0,0,0
ลำปาง,1,เพื่องคำแปลง,บ้านค่า,1,359,700,250,234,9,7,0,4,2,11,0,3,0,8,72,1,1,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,100,1,1,1,1,0,0,0,0,0,0,0
ลำปาง,1,เพ็ญ,บ้านเป้า,1,480,347,347,322,15,10,1,6,0,8,2,0,0,9,79,0,13,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,18,0,1,0,1,0,1,0,0,1,35,0,1,0,0,3,0,0,1,0,0,4,2,0,0,0,0,0,0,0,1
ลำปาง,1,เพ็ญฯ,เมือง,1,465,298,298,267,34,29,2,1,3,2,3,4,0,8,46,2,5,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,20,0,2,0,0,1,2,0,0,1,42,0,1,0,0,3,3,2,1,108,0,2,3,0,1,0,0,0,0,0,0
ลำปาง,1,เมือง,กรุงเทพฯ,1,727,481,481,455,5,21,0,3,0,0,1,19,0,2,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,1,0,1,0,0,1,159,1,2,4,0,0,0,1,0,0,0,0
ลำปาง,1,เมือง,คลองคุ่ม,1,559,344,344,319,6,19,0,4,0,4,1,13,1,0,31,2,8,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,35,0,16,0,0,0,0,1,0,51,2,0,0,0,0,0,0,0,136,0,7,2,0,0,0,0,0,0,0,0,0
ลำปาง,1,เมือง,คันกลางน้ำย,1,992,698,698,610,37,51,1,6,4,8,4,13,1,2,139,2,19,2,4,1,0,1,0,1,1,0,0,0,0,0,0,0,40,0,3,2,0,0,1,0,2,1,84,1,0,0,0,2,2,2,1,253,0,3,3,0,0,0,0,0,0,0,1
ลำปาง,1,เมือง,คันถลิ่ย,1,731,489,489,434,11,44,0,4,2,3,2,4,2,8,66,3,10,3,4,0,1,1,0,0,0,0,6,5,6,0,0,6,18,3,2,0,1,0,2,0,0,53,1,0,0,0,0,4,1,1,0,231,1,3,1,0,2,0,0,0,0,0,0
ลำปาง,1,เมือง,คันธรชัย,2,1384,1003,1043,841,71,71,9,19,7,24,4,22,5,25,179,7,30,6,8,1,1,3,4,0,0,0,0,0,0,1,0,1,23,2,9,5,2,1,2,3,1,4,96,3,0,1,0,7,2,2,3,308,1,7,4,1,0,0,1,2,1,2,0
