sha256,voting_type,station_id,tambon,amphoe,changwat,constituency,polling_station,election_date,voters_registered,voters_present,ballots_allocated,ballots_used,ballots_valid,ballots_invalid,ballots_no_vote,ballots_remaining,total_votes,validation_passed,turnout_rate,valid_rate,invalid_rate,no_vote_rate
03e9067a33b6cb9f39d8447cecedc3cdf1ce2e2945cf2c6df53474f918ba4303,election_day,,ทุ่งช้าง,เมืองเชียงใหม่,ลำปาง,1,10,2026-02-28,84,60,840,609,512,34,63,291,512,False,0.7142857142857143,8.533333333333333,0.5666666666666667,1.05
04064c739bb309b8835c6af157d6ad1cf94144b35994c83b7160cee3a92283e2,election_day,,เมืองตาล,ทางเข้า การ,ลำปาง,1,6,2026-02-04,500,700,500,300,305,200,200,100,305,False,1.4,0.4357142857142857,0.2857142857142857,0.2857142857142857
049c9f74ec9652571bf1e6400aa1f9f19df0aef7e90bbc8957b17b84e816f297,election_day,,มอแซ็ค,เมืองลำปาง,ลำปาง,1,4,2026-02-28,730,531,680,531,464,15,52,149,464,False,0.7273972602739726,0.8738229755178908,0.02824858757062147,0.09792843691148775
06e957a45b33ef48362893252df010d1b3c2050801ce3b5555d412274e9c392a,election_day,,สำราญ,เชื่อมลำปลา,ลำปาง,1,22,2026-02-28,528,356,460,356,320,8,28,104,320,False,0.6742424242424242,0.898876404494382,0.02247191011235955,0.07865168539325842
1c11a72209b392cbcecaff9d94339586c50d3d44561e86772c305ea1d1d27f15,election_day,,เชียงตาล,ซังฮัตร,ลำปาง,1,11,2026-02-28,40,260,380,260,230,176,14,120,230,False,6.5,0.8846153846153846,0.676923076923077,0.05384615384615385
3390e60c0797905b6ac7b85c7ad90635e2119c9f685f18019747eecf773112a5,election_day,,ต้น ธงชัย,เมือง,ลำปาง,1,4,2026-02-28,651,450,620,450,389,26,35,170,389,False,0.6912442396313364,0.8644444444444445,0.057777777777777775,0.07777777777777778
3618f3b07935ef129a9acf610a703b457c86568dbefd7ad2f71404aeb3c3551c,election_day,,น่อแป๋ว,เมือง,ลำปาง,1,12,2026-02-28,172,136,180,136,122,2,12,44,122,False,0.7906976744186046,0.8970588235294118,0.014705882352941176,0.08823529411764706
37267c6d8b6d7f433f1467e2b52876496cb72afd2887c0a8d0a38ef3d7f8902a,advance,,ไม่ระบุ,ไม่ระบุ,ลำปาง,1,1478,2026-02-08,760,760,760,760,692,0,68,0,692,True,1.0,0.9105263157894737,0.0,0.08947368421052632
39b8ed1299b3339fd9f8d43d198a42f662314f2e4bac0aba2f265044a2583379,election_day,,คันธรชัย,เมืองลำปาง,ลำปาง,1,19,2026-02-28,631,449,580,449,377,14,58,131,377,True,0.7115689381933439,0.8396436525612472,0.031180400890868598,0.1291759465478842
3b6dffaa888ccd263e36e97f94ce5a6fa0b916a9de58b9f58fa78070230b3550,election_day,,หนองหล่ม,ห้องพักอาศัย,ลำปาง,1,6,2026-02-28,340,265,240,265,244,3,18,75,244,True,0.7794117647058824,0.9207547169811321,0.011320754716981131,0.06792452830188679
aba0b21cb879ef6682b8eacf742bccce57fa9860d541f4c6986c3b4133fab161,election_day,,ป่านาเฒ่า,เมือง,ลำปาง,1,8,2026-02-28,460,347,460,347,319,13,15,113,319,False,0.7543478260869565,0.9193083573487032,0.037463976945244955,0.043227665706051875
b6c27de612b9bf57ec0d9af6c5d308f55241cfb32af884bd21df29be372a0199,election_day,,คลองมิ้ว,เมืองลำปาง,ลำปาง,1,10,2026-02-28,218,165,200,165,148,6,13,35,128,False,0.7568807339449541,0.896969696969697,0.03636363636363636,0.07878787878787878
bc278335c2ecf68a4d14c5c76cc9fee1dadb4836884536bd2bda08658a975b6e,election_day,,ป่าเหลื่อม,เพิ่ม,ลำปาง,1,3,2026-02-28,477,346,460,346,319,14,13,114,319,True,0.7253668763102725,0.9219653179190751,0.04046242774566474,0.03757225433526012
bf2f8ba9edc587b4a1419b1fdf04f57acaf8420458bb69a2d599e3fdd2bc72b9,election_day,,ต้น ธงชัย,เมืองลำปาง,ลำปาง,1,12,2026-02-28,766,390,740,590,501,50,39,150,501,True,0.5091383812010444,1.2846153846153847,0.1282051282051282,0.1
cbecbe73014d636ffca94d517635eb66bf64dd2f06a061f84b055bc805fad535,election_day,,ฟองคอก,นางจิตร,ลำปาง,1,14,2026-02-28,378,301,380,301,258,19,24,39,258,False,0.7962962962962963,0.8571428571428571,0.06312292358803986,0.07973421926910298
e3d2366250a5fb6e48a048624ad3008067ade56c25162de67b14e20b1cb352ed,election_day,,บ้านเอื้อม,เมือง,ลำปาง,1,8,2026-02-28,605,423,580,423,383,31,9,157,383,True,0.6991735537190082,0.9054373522458629,0.07328605200945626,0.02127659574468085
e54692d6c9be23409e75cfc4ef3af614804b6d2cbaf84a729227daa9b94d976d,election_day,,เมืองฯ,กำแพงเพชร,ลำปาง,1,19,2026-02-28,496,379,440,345,351,23,97,58,351,False,0.7641129032258065,0.9261213720316622,0.06068601583113457,0.2559366754617414
fad324aa2946d25f8f278d1d45d3b3908d6d9b849d07919c63cc9a59619a2256,election_day,,หนองพลูม,หัวคิด,ลำปาง,1,2,2026-02-28,378,378,500,378,341,11,26,122,341,False,1.0,0.9021164021164021,0.0291005291005291,0.06878306878306878
4ef9125235bfcefeafdba7e956d5ffbaf28c8ef855be33d602642edc4e5df4ce,election_day,,ฟ้าฮ่า,เมือง,ลำปาง,1,2,2026-02-28,626,412,580,412,358,28,26,168,358,True,0.65814696485623,0.8689320388349514,0.06796116504854369,0.06310679611650485
5ae29c89724b8b047c66e3d48d8d40e13f065eec173bc11aa56460bd60087150,election_day,,นิคมพัฒนา,เมืองลำปาง,ลำปาง,1,13,2026-02-28,277,199,280,199,169,17,13,81,169,True,0.7184115523465704,0.8492462311557789,0.08542713567839195,0.06532663316582915
7b55eb7e724f907a5f24ece46f1a6f91c2ad63a49572e59ec40f7f6e3256dad0,election_day,,นิคมพัฒนา,เมืองลำปาง,ลำปาง,1,1,2026-02-08,539,324,440,324,292,13,19,116,292,True,0.601113172541744,0.9012345679012346,0.040123456790123455,0.05864197530864197
857741a8bfb252a290fabb4c96223cd3f66c275da05af37d177cac2dbe7d4f82,election_day,,น้ำค่ำ,เมืองลำปาง,ลำปาง,1,3,2026-02-28,360,259,360,259,230,23,6,101,230,True,0.7194444444444444,0.888030888030888,0.0888030888030888,0.023166023166023165
